Date Time,Doc No,Item Code,Item Brand,Item Description,Qty,Unit Price,Gross Total,Discount Amt,Sub Total,Sub Total (ex)
20/11/2025 12:24:11,T01-096762,BOLT & NUT  HEXAGON,,BOLT & NUT & CHAIN & WASHER,0.02,17.5,0.35,0,0.35,0.35
20/11/2025 12:28:55,T01-096763,LIANGJIN TAPE MEASURE 3M/10' K11-3016,CHINA STOCK,LIANGJIN MEASURE TAPE 3M/10',1,9.9,9.9,0,9.9,9.9
20/11/2025 12:33:54,T01-096764,MTI-022,,PVC WIRE 1.5 - MTR,2,1.2,2.4,0,2.4,2.4
20/11/2025 12:33:54,T01-096764,4.8MMX150MM BLK CABLE TIE,CHINA STOCK,4.8X150MM BLK CABLE TIE,1,5,5,0,5,5
20/11/2025 12:33:54,T01-096764,MTS5GS,,S8315 5G/2M MULTI T/SKT,2,44,88,0,88,88
20/11/2025 12:33:54,T01-096764,AS703N,,3WAY ADAP NEON S703N,1,16.5,16.5,0,16.5,16.5
20/11/2025 12:33:54,T01-096764,1212BP4 N,,EVEREADY SHD AAA BTY 4PCS,1,9.9,9.9,0,9.9,9.9
20/11/2025 12:33:54,T01-096764,96MM 312 CABINET DOOR HDL (AC),CHINA STOCK,96MM 312 CABINET DOOR HDL (AC),8,7.5,60,0,60,60
20/11/2025 12:42:55,T01-096765,LK-026,,20KG STOPPING COMPOUND,1,4,4,0,4,4
20/11/2025 12:45:13,T01-096766,"MACROLAR DIAMOND CUTTING DISC 4""",CHINA STOCK,"MACROLAR CUTTING DISC 4""",1,15.9,15.9,0,15.9,15.9
20/11/2025 12:50:51,T01-096767,"S/STEEL AUTO TRAP (ATTACHED TO FLOOR TRAP 6"")",,S/STEEL AUTO TRAP,4,9.9,39.6,0,39.6,39.6
20/11/2025 12:55:10,T01-096768,ABIV01,,4021 ADJ BOTTOM INLET,1,16.5,16.5,0,16.5,16.5
20/11/2025 12:57:40,T01-096769,RATCHET TIE DOWN 50MM X 10M X 3 TON,CHINA STOCK,"H/D RATCHET T.DOWN 2""x10Mx3Ton",1,44.9,44.9,0,44.9,44.9
20/11/2025 12:57:40,T01-096769,30CM X 0.9MM STEEL RULER,CHINA STOCK,"12""/30CM  STEEL RULER",2,5.5,11,0,11,11
20/11/2025 12:59:02,T01-096770,CROSSMAN SCREWDRIVER 6 X 100MM (-),,CROSSMAN SCREWDRIVER 6x100MM(-),1,5.5,5.5,0,5.5,5.5
20/11/2025 12:59:02,T01-096770,STMT60811-8,,STANLEY PH2X150MM S/DRIVER,1,12.5,12.5,0,12.5,12.5
20/11/2025 13:01:27,T01-096771,"4.5"" WIRE CUTTER PLIER",CHINA STOCK,"4.5"" WIRE CUTTER PLIER",1,9.5,9.5,0,9.5,9.5
20/11/2025 13:05:00,T01-096772,YTL CEMENT ,,YTL CEMENT ,1,3,3,0,3,3
20/11/2025 13:05:00,T01-096772,BOSS SPRAY PAINT 250G,CHINA STOCK,BOSS SPRAY PAINT 250g,1,5.3,5.3,0,5.3,5.3
20/11/2025 13:05:00,T01-096772,CCP384P4,NIPPON PAINT ,VINILEX EASYWASH P BASE 1L,1,48,48,0,48,48
20/11/2025 13:05:00,T01-096772,GOLDLAND JH-A01 SK4 CUTTER BLADE 10PCS,CHINA STOCK,A01 SK4 CUTTER BLADE 10'S,1,3.5,3.5,0,3.5,3.5
20/11/2025 13:10:54,T01-096773,SAFETY VEST WITH ZIP GREEN,CHINA STOCK,SAFETY VEST W/ZIP GRN,2,16.9,33.8,0,33.8,33.8
20/11/2025 13:13:48,T01-096774,1215BP3_1R,,EVEREADY SHD  AA 4PCS,1,10.5,10.5,0,10.5,10.5
20/11/2025 13:13:48,T01-096774,05467BK,ELISE,S/S MATT BLK HAND BIDET,1,78,78,0,78,78
20/11/2025 13:14:08,T01-096775,SMS-277ML WD-40 SMART STRAW,,WD-40 277ML (2FUNC SPRAY),1,20.9,20.9,0,20.9,20.9
20/11/2025 13:14:25,T01-096776,SUGAR BAG - B,,SUGAR BAG - B,1,1,1,0,1,1
20/11/2025 13:18:03,T01-096777,WANGLI SOLDER CORE WIRE 1.2MM WITH ROSIN FLUX,CHINA STOCK,SOLDER WIRE 1.2MM W/ROSIN FLUX,1,14.9,14.9,0,14.9,14.9
20/11/2025 13:18:03,T01-096777,"8# X 1"" TAPPING SCREW",CHINA STOCK,"8# X 1"" TAPPING SCREW",1,2.5,2.5,0,2.5,2.5
20/11/2025 13:18:03,T01-096777,"TAPPING SCREW 7x1.5""",CHINA STOCK,"7# X 1.5"" TAPPING SCREW",1,2.5,2.5,0,2.5,2.5
20/11/2025 13:18:36,T01-096778,15A PVC CONNECTOR,CHINA STOCK,15A PVC CONNECTOR,1,2.5,2.5,0,2.5,2.5
20/11/2025 13:20:45,T01-096779,2503008014/2503008104,,PVC WIRE TAPE (BLACK),1,1,1,0,1,1
20/11/2025 13:22:03,T01-096780,F4008 IFAN 60CM PVC FLEXIBLE HOSE,CHINA STOCK,"24"" IFAN PVC FLEX/HOSE",1,14.9,14.9,0,14.9,14.9
20/11/2025 13:27:29,T01-096781,FBT1-1/4/ FMS-WT3091,,"1-1/4"" FLEXI BOTTLE TRAP",1,6.5,6.5,0,6.5,6.5
20/11/2025 13:27:29,T01-096781,WASTE1-1/4 / WAS014,,"1-1/4"" WASTE",1,5,5,0,5,5
20/11/2025 13:27:29,T01-096781,ABIV01,,4021 ADJ BOTTOM INLET,1,16.5,16.5,0,16.5,16.5
20/11/2025 13:28:30,T01-096782,HSS4341# 25MM HOLE SAW,CHINA STOCK,25MM HSS HOLE SAW,1,13.9,13.9,0,13.9,13.9
20/11/2025 13:31:25,T01-096783,B4,,B4 P.P FIBRE REFILL (5 IN 1),1,15,15,0,15,15
20/11/2025 13:38:04,T01-096784,CONE TYPE SOLAR WARNING LIGHT WL016,CHINA STOCK,CONE SOLAR WARNING LIGHT,4,35,140,0,140,140
20/11/2025 13:38:04,T01-096784,32MM YINJIAHONG TCT HOLE SAW,CHINA STOCK,32MM TCT HOLE SAW,1,24,24,0,24,24
20/11/2025 13:39:11,T01-096785,30MM X 3M NANO GRIP TAPE,CHINA STOCK,30MMX3M NANO TAPE,1,8.5,8.5,0,8.5,8.5
20/11/2025 13:39:11,T01-096785,30994104 GOLDLAND UTILITY KNIFE 911104,CHINA STOCK,JH-104 UTILITY KNIFE,1,3.2,3.2,0,3.2,3.2
20/11/2025 13:45:39,T01-096786,ZEZHIHE 11CM SINK DRAINER,CHINA STOCK,ZEZHIHE 11CM SINK DRAINER,1,6.5,6.5,0,6.5,6.5
20/11/2025 13:59:05,T01-096787,FMS-BT002-1TPWHT,,"PVC BOTTLE TRAP 1-1/4"" ",1,7,7,0,7,7
20/11/2025 13:59:05,T01-096787,"BRASS EXT THREAD ADAPTOR 1/2"" X 50MM",CHINA STOCK,"BRASS EXT THREAD ADAP 1/2"" X 50MM",1,8.5,8.5,0,8.5,8.5
20/11/2025 13:59:05,T01-096787,EAV200,ELISE,EAV200 ANGLE VALVE,1,18.5,18.5,0,18.5,18.5
20/11/2025 14:10:42,T01-096788,"6""X2.5""X3""X1.2MM DOMINO HD B/T",,"6""x2.5""x3"" HD B/TROWEL",1,9.5,9.5,0,9.5,9.5
20/11/2025 14:12:18,T01-096789,"1"" S/STEEL 304 NIPPLE",,"S/S NIPPLE 1""",1,10.5,10.5,0,10.5,10.5
20/11/2025 14:12:18,T01-096789,ROWY-018,,"1"" S/S STREET ELBOW",1,15.5,15.5,0,15.5,15.5
20/11/2025 14:12:18,T01-096789,"3/4"" X 1/2"" S/S 304 R/BUSH",,"S/S R/BUSH 3/4"" X 1/2""",1,7.8,7.8,0,7.8,7.8
20/11/2025 14:12:18,T01-096789,25MM S/S TEE,,25MM S/S TEE,1,16.5,16.5,0,16.5,16.5
20/11/2025 14:12:18,T01-096789,WPN20MM,,"1/2""(20) GI PIPE NAIL (SQ)",1,2.5,2.5,0,2.5,2.5
20/11/2025 14:12:18,T01-096789,FF-137,,22MM SEALING TAPE,1,3.5,3.5,0,3.5,3.5
